"","logFC","logCPM","LR","PValue","FDR"
"PITA_29846",-5.16808141485904,4.56546140457827,17.0565379084939,3.62832411278571e-05,0.0157825949204292
"PITA_33895",-3.54347193804755,4.08966632814746,16.9908332602715,3.75607238545064e-05,0.0160659736167009
"PITA_02167",-3.25287835540462,3.04325999609142,16.8892543337403,3.96252734729109e-05,0.0166711970230949
"PITA_24700",-5.61792246184699,8.39420579091351,16.8569652166518,4.03051417245236e-05,0.0166837283422286
"PITA_49488",-2.45471020500791,5.03528833505959,16.7645983669912,4.23154421033547e-05,0.0172378334308015
"PITA_46082",-3.80629848775354,0.654200829769933,16.590783063612,4.63758542970883e-05,0.0185967175731324
"PITA_37572",-1.54561724217373,5.0304165890627,16.1289656314575,5.91720805065294e-05,0.0230089738502965
"PITA_50584",-4.9264267013915,6.36334608818064,16.074688271664,6.0892518571416e-05,0.0232479418197732
"PITA_39019",-3.31328336746476,3.70284008380379,15.9070314459238,6.65310868829564e-05,0.024112311390325
"PITA_34170",-1.7671458751142,4.41096309930253,15.902027445565,6.67072205701791e-05,0.024112311390325
"PITA_25188",-2.50692152983276,2.25024653309941,15.8166199595226,6.97868101477642e-05,0.0248751207726697
"PITA_48547",-1.79161592502893,6.22716005867323,15.7412243027888,7.26240601632134e-05,0.025531833972996
"PITA_02582",-2.84416543484726,1.85071921992017,15.6668128093783,7.55380560140937e-05,0.0258455752029412
"PITA_20903",-2.27682849015953,2.85383146225937,15.6625930243684,7.57067860436328e-05,0.0258455752029412
"PITA_06806",-1.52750926384256,4.71765428470414,15.4320285354349,8.55263812192002e-05,0.0281403724052507
"PITA_08882",-3.36651820497635,2.72244460334041,15.3957565046325,8.71838613864457e-05,0.0283226154255917
"PITA_08268",-2.1007214685598,4.24633566168221,15.2302845180425,9.51650134058877e-05,0.0305289363006088
"PITA_18311",-1.86355077992784,4.39885391812091,15.0883443377418,0.000102594805959613,0.0325060876561422
"PITA_22254",-2.27387369783438,2.86737413537436,14.99146583189,0.000107998487219306,0.0338008923901984
"PITA_37518",-3.48729187146538,0.541991526072998,14.8501132120544,0.000116401082925951,0.0355791041530938
"PITA_22542",-3.96441076744095,2.79577936202287,14.7829984888778,0.000120618081175614,0.0361043241197242
"PITA_10941",-2.85599144687798,2.61785830286604,14.7554643189674,0.00012239230823005,0.0361043241197242
"PITA_22395",-1.26594944018458,5.58909401095625,14.6990143704801,0.000126112369780567,0.0363000331203444
"PITA_33273",-3.30555986405049,1.37271918950075,14.6813592164473,0.000127299056297966,0.0363000331203444
"PITA_18097",-4.6917655320672,6.83203795146507,14.582523735611,0.000134152945766118,0.037020443012276
"PITA_37076",-3.84583360840741,0.176562154280099,14.5034484667749,0.000139903202295248,0.0378816903290876
"PITA_42431",-2.87699151812546,4.13259198924185,14.1549139426627,0.000168356795918901,0.0440276095858123
"PITA_27863",-2.39206483323726,3.18148783086149,14.1384298128709,0.000169838425381679,0.0440276095858123
"PITA_39239",-4.78409327948468,4.12340789870298,14.1090813187961,0.0001725089140846,0.044220375765083
"PITA_10551",-1.96826468327141,2.98122331314799,14.074057981018,0.000175751181734666,0.044220375765083
"PITA_06366",-3.54443021010292,0.647192763283066,14.0245617401285,0.000180438222626922,0.0448876838944836
"PITA_51213",-3.69724078198018,2.48292251790202,13.9583068859587,0.000186909921368804,0.0456843449715142
"PITA_13063",-2.7259929461414,1.52091399929255,13.8702355456023,0.000195876143869544,0.0468167812071229
"PITA_16861",-3.24680768824039,2.12219980984005,13.8248538692054,0.000200664196258709,0.0468167812071229
"PITA_39848",-2.98991720776216,1.60558739790436,13.6929565459714,0.000215260308345549,0.0490457187299976
"PITA_46254",-2.0857896781486,8.0281214053601,13.5802731532623,0.000228574971826386,0.0505603916962764
"PITA_27277",-1.15271862185207,5.86577250546149,13.5460115718453,0.000232785577273691,0.0505603916962764
"PITA_02336",-3.45248298847405,1.64061332181978,13.5430535861065,0.00023315274651924,0.0505603916962764
"PITA_28184",-1.12099503272273,6.63261288417156,13.5327144202622,0.000234440718978214,0.0505603916962764
