"","logFC","logCPM","LR","PValue","FDR"
"PITA_41896",1.249690803163,4.48614471279792,9.68619751373406,0.00185657348384833,0.17263442713581
"PITA_08885",2.47248491498804,2.59455971040134,9.6667502778706,0.0018763291597773,0.173841557965793
"PITA_50479",1.3886837048315,4.06874982010919,9.61458417610939,0.00193038167114083,0.177567438022072
"PITA_01731",1.10353119627745,4.98528428876427,9.57146274533395,0.00197625257925132,0.179853000687609
"PITA_31802",2.95555123800579,0.0463185703504438,9.5592444345117,0.00198944976770529,0.180286676028109
"PITA_49426",1.32441380413675,4.9625517211162,9.55406817052876,0.00199506764307914,0.180286676028109
"PITA_45350",3.52548304901189,1.2158481077759,9.52722277859825,0.00202446241840842,0.181663648622496
"PITA_01067",1.20491462863838,5.9397915375726,9.50037146475188,0.00205430304396521,0.182133302994751
"PITA_39478",0.948428756545493,7.83487304986056,9.49699787664758,0.00205808361395253,0.182133302994751
"PITA_44756",0.979446030021692,7.23817804992209,9.44721940247005,0.002114694506902,0.186410094919417
"PITA_50830",2.00685151217382,1.93622724245013,9.43067764939646,0.00213385425092458,0.186410094919417
"PITA_43300",1.56092587851732,2.78712738663442,9.40676683361353,0.00216186096383337,0.188074575511253
"PITA_27802",2.04435803893329,1.7828522387828,9.28507034947921,0.00231029048939442,0.193762402352348
"PITA_27356",1.77451309228063,3.55476357502942,9.24062336757802,0.00236704359616898,0.197875592352054
"PITA_19065",2.31398571214168,0.650236389024424,9.21523543146857,0.00240009345225327,0.199987007657883
"PITA_08291",1.39732930379975,5.19133086790565,9.16854572295449,0.00246210141817977,0.202105047307435
"PITA_17844",2.16856193377422,1.41471695614455,9.14573081620036,0.00249299046600197,0.202105047307435
"PITA_13722",1.44180388642646,3.84019402960018,9.14335074677843,0.0024962354082492,0.202105047307435
"PITA_05965",2.20558447156589,0.923826342995359,9.14323894925488,0.00249638793627092,0.202105047307435
"PITA_23205",2.06324951169971,2.35184912119761,9.11135794938505,0.0025402722154404,0.20501115137441
"PITA_10255",1.48829638448705,3.58874835869049,9.05559526935789,0.00261892125883416,0.208732904306584
"PITA_51603",0.981725254226285,6.26522616142028,9.01415174564787,0.00267897189638085,0.210933790449531
"PITA_22010",1.04023604479006,5.00985690512916,9.0036700833938,0.0026943798356433,0.21131282202289
"PITA_05742",1.259391662215,5.96145682112094,8.99939240956137,0.0027006937976741,0.21131282202289
"PITA_41062",1.62874942879188,2.4363212786296,8.98958154457396,0.00271523169789882,0.211804578403876
"PITA_14339",1.65810519907301,3.13395964639859,8.88896790011439,0.00286898863602749,0.221776278177739
"PITA_34269",1.66429524232854,4.62699254554331,8.86765163197067,0.00290268307430561,0.22261373335889
"PITA_05239",2.52600823074481,1.69356569569284,8.86653070330263,0.00290446599932889,0.22261373335889
"PITA_45020",2.12015187184532,1.32576105975132,8.83607019501261,0.00295334400819078,0.224909853490232
"PITA_34302",1.24171610483546,4.30031335742589,8.81028286379672,0.00299537593956949,0.227435881991454
"PITA_46434",2.04565800759211,1.66360812082482,8.79372973317679,0.00302267637394085,0.228158724884759
"PITA_32403",1.51983141810925,3.13136468000747,8.77439869153737,0.00305487848951126,0.229913201040519
"PITA_00566",1.64415016433106,2.64428997951681,8.7355595751879,0.00312063532962916,0.232813910173264
"PITA_11546",2.68713599017098,3.5140919653492,8.66839090165758,0.00323776958245306,0.237899452375486
"PITA_20023",1.68865168492981,3.23401259576246,8.66465146175221,0.00324442052413575,0.237899452375486
"PITA_39782",1.11407347695807,7.55918154892705,8.64835302294352,0.00327357134565684,0.238276734596922
"PITA_00280",1.77749919170174,2.21131039951822,8.6165589418166,0.00333120563932163,0.240692475890794
"PITA_26844",1.86537527011072,2.43941725368793,8.61305346069406,0.00333762295813072,0.240692475890794
"PITA_39627",2.41768652177897,0.544833179840651,8.58350033338179,0.00339222648845755,0.242978898122035
"PITA_37355",2.27449396174037,2.41888813523132,8.57992048244214,0.00339890213629249,0.242978898122035
"PITA_29548",2.04999856723498,1.06853991735646,8.56011101630711,0.00343608467292019,0.243601317806143
"PITA_22168",1.36239950055889,4.78835338213065,8.54379664192106,0.00346701725491163,0.244664906435069
"PITA_40884",3.2745158471921,2.03476615356921,8.53441943046698,0.00348492472680327,0.245033173119669
"PITA_48580",2.37654023409915,1.46982124318559,8.47399156330262,0.00360260042606712,0.248417136541587
"PITA_42388",0.970023625800031,7.67408399091897,8.46912916045288,0.00361224323309667,0.248417136541587
"PITA_26266",1.32662749919605,4.35386033342835,8.45960378126694,0.00363120949786,0.248510294808211
"PITA_00151",2.23512714171848,0.899799750622664,8.44698728851649,0.00365648657188916,0.249135841185385
"PITA_26305",1.26634821628143,6.22444086566105,8.44174211291811,0.00366704784491425,0.249135841185385
"PITA_06067",2.11645559111309,0.880636719784476,8.39550256893151,0.00376150499983232,0.252710116009677
"PITA_45173",2.5611077947735,0.607188115570379,8.38722944186458,0.00377866438999801,0.253200112023261
