"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_05446",40,18,11,24,19,23
"PITA_27874",3,0,0,0,0,0
"PITA_32599",167,33,54,51,30,32
"PITA_06895",21,17,21,14,19,14
"PITA_07937",0,0,0,0,1,0
"PITA_34693",0,0,0,1,0,0
"PITA_48390",0,0,2,0,1,0
"PITA_48933",0,0,0,0,0,0
"PITA_11175",0,0,0,0,0,0
"PITA_07042",87,57,38,54,66,92
"PITA_23280",0,0,0,0,0,0
"PITA_23204",113,61,83,101,180,155
"PITA_07688",0,0,0,2,1,0
"PITA_38116",0,0,0,0,0,0
"PITA_18467",0,1,0,1,0,0
"PITA_37043",2,0,3,0,5,0
"PITA_01125",0,0,0,0,0,0
"PITA_51614",0,0,0,2,0,0
"PITA_20771",4,12,4,3,1,9
"PITA_29838",80,61,63,91,71,74
"PITA_13185",0,0,0,0,0,0
"PITA_18050",899,534,462,763,620,852
"PITA_22122",626,552,426,647,435,729
"PITA_21755",7062,4100,3608,4393,4299,5056
"PITA_49117",0,23,15,6,7,14
"PITA_47278",193,69,191,299,355,159
"PITA_21031",0,0,0,0,0,0
"PITA_35645",2634,1481,1296,1443,1515,1669
"PITA_07330",0,0,1,2,3,7
"PITA_41743",2,2,8,5,3,1
"PITA_12677",0,0,0,0,0,0
"PITA_22695",2,2,0,1,1,6
"PITA_37364",173,105,120,93,107,157
"PITA_02457",32,38,42,80,135,47
"PITA_13784",5,0,0,2,2,6
"PITA_35198",3,3,1,1,2,1
"PITA_31530",2,1,0,2,0,1
"PITA_26740",239,72,95,154,31,136
"PITA_39318",853,249,347,247,343,210
"PITA_05829",0,0,0,0,6,0
"PITA_02316",85,28,44,35,45,55
"PITA_28312",0,0,1,0,0,4
"PITA_07150",959,521,331,425,677,887
"PITA_36571",1,1,0,0,0,1
"PITA_36141",1640,957,1046,834,1067,1090
"PITA_13732",0,0,0,0,0,0
"PITA_48211",2,0,0,0,0,0
"PITA_17428",0,0,8,25,8,13
"PITA_03638",165,128,72,116,56,82
"PITA_11901",141,122,100,175,115,194
"PITA_23845",93,81,90,53,44,88
"PITA_36383",0,0,0,0,0,0
"PITA_48991",0,0,0,0,0,0
"PITA_24992",0,0,0,0,0,0
"PITA_43404",2,0,0,0,0,9
"PITA_21434",82,3,123,75,87,9
"PITA_18189",27,7,10,9,15,35
"PITA_09884",0,0,0,0,0,0
"PITA_43036",2118,1029,993,1359,1739,1097
"PITA_25824",85,81,62,53,63,125
"PITA_14043",0,0,0,0,0,0
"PITA_14787",0,0,0,0,0,0
"PITA_28293",0,0,0,0,0,0
"PITA_47538",0,0,0,0,0,1
"PITA_32843",18,1,10,10,11,1
"PITA_17222",447,223,280,149,166,218
"PITA_29605",17,40,6,11,7,21
"PITA_47646",130,19,31,18,58,6
"PITA_30423",0,0,0,0,0,0
"PITA_26431",104,35,39,114,110,80
"PITA_38547",0,1,1,0,0,4
"PITA_23948",0,0,0,0,0,0
"PITA_15813",77,117,77,89,78,115
"PITA_22840",0,0,0,0,0,0
"PITA_37161",52,1,3,9,3,2
"PITA_41259",399,269,303,256,236,325
"PITA_02340",143,155,94,54,82,149
"PITA_47420",0,0,0,0,0,0
"PITA_24366",2,4,11,1,2,2
"PITA_37122",159,88,177,236,391,186
"PITA_00474",188,134,136,131,98,157
"PITA_14933",0,0,0,0,0,9
"PITA_48085",26,56,21,45,9,39
"PITA_16987",2002,977,1181,999,918,1121
"PITA_03280",83,46,49,58,38,53
"PITA_13168",75,55,24,32,30,41
"PITA_32886",85,34,21,23,12,23
"PITA_49234",0,0,0,0,0,0
"PITA_35834",48,40,17,24,13,43
"PITA_28936",516,285,222,290,237,320
"PITA_12465",0,0,0,0,0,0
"PITA_13783",10,7,8,3,4,8
"PITA_40935",0,0,0,0,1,0
"PITA_48461",108,74,72,91,60,108
"PITA_00569",13,3,2,5,0,5
"PITA_14565",1,1,0,0,0,0
"PITA_30645",644,163,286,465,391,206
"PITA_45595",0,0,0,0,0,0
"PITA_36640",1838,822,1162,1065,1283,922
"PITA_03929",0,3,0,0,1,0
"PITA_00078",0,0,0,3,0,0
"PITA_39572",170,94,74,68,95,122
"PITA_23316",0,0,0,0,0,0
"PITA_45118",363,246,335,378,226,293
"PITA_32273",0,0,0,0,0,0
"PITA_10945",7,0,1,3,0,1
"PITA_08371",96,67,60,52,48,73
"PITA_46033",11,26,34,17,13,6
"PITA_44835",40,4,29,44,10,9
"PITA_05705",287,255,173,129,186,282
"PITA_33608",35,21,16,24,26,25
"PITA_32983",0,0,0,0,0,0
"PITA_01170",0,6,1,0,1,0
"PITA_22217",213,227,97,118,27,149
"PITA_09300",7357,4030,4452,4929,5638,5277
"PITA_27202",482,133,107,5,1138,27
"PITA_49438",0,0,0,0,0,0
"PITA_10350",113,31,81,105,51,270
"PITA_10585",0,0,2,2,0,0
"PITA_33480",47,37,13,97,85,53
"PITA_11872",0,0,0,0,0,3
"PITA_25727",86,55,72,98,118,63
"PITA_05773",51,22,25,22,18,39
"PITA_32725",33,0,32,50,47,8
"PITA_35323",0,0,0,0,0,0
"PITA_50544",479,67,302,177,220,219
"PITA_24091",0,0,0,0,0,0
"PITA_37500",0,0,0,0,0,0
"PITA_01568",0,0,3,0,0,0
"PITA_14537",9,4,5,7,5,1
"PITA_30416",0,0,0,0,0,0
"PITA_00686",47,9,22,36,39,12
"PITA_08860",603,265,342,474,489,303
"PITA_15988",13,13,131,107,77,4
"PITA_42894",2118,1393,1415,1932,1364,2097
"PITA_40381",416,204,180,216,211,256
"PITA_48175",30,12,6,0,0,22
"PITA_47795",502,383,306,369,282,452
"PITA_32219",18,15,12,15,2,10
"PITA_44416",0,0,0,0,0,1
"PITA_12668",0,0,0,0,0,0
"PITA_43721",24,0,21,17,22,9
"PITA_05501",3,0,0,0,1,0
"PITA_46954",0,0,0,0,0,0
"PITA_41578",0,0,0,0,0,0
"PITA_32815",40,12,30,25,18,147
"PITA_02103",0,0,0,0,0,0
"PITA_14424",0,0,0,0,0,0
"PITA_41380",172,148,100,148,108,148
"PITA_05348",281,183,193,118,184,131
"PITA_39530",1025,559,568,666,703,667
"PITA_14834",0,0,0,0,0,0
"PITA_13143",0,0,0,2,0,0
"PITA_30627",48,30,45,62,36,57
"PITA_15422",168,38,7,18,89,44
"PITA_45417",0,0,0,0,0,0
"PITA_41355",36,60,26,19,27,37
"PITA_47586",409,260,197,183,247,265
"PITA_32268",0,0,0,0,0,0
"PITA_26375",3,0,0,0,0,0
"PITA_26114",0,0,0,0,0,0
"PITA_01295",0,0,0,0,0,0
"PITA_39827",111,60,48,65,61,1444
"PITA_05322",214,104,98,79,65,110
"PITA_50904",0,0,4,1,0,0
"PITA_13041",97,62,58,51,99,122
"PITA_09357",0,0,0,0,0,0
"PITA_40395",219,130,189,91,141,153
"PITA_30403",0,0,0,2,0,4
"PITA_26447",41,22,21,35,19,12
"PITA_09104",73,28,23,28,34,64
"PITA_18527",71,30,47,69,80,69
"PITA_05055",0,0,0,0,0,0
"PITA_32330",0,0,0,0,0,0
"PITA_13662",992,485,544,877,600,515
"PITA_14066",0,0,0,0,0,0
"PITA_50318",47,27,28,21,21,45
"PITA_03960",192,48,85,93,57,62
"PITA_08443",0,0,0,0,0,0
"PITA_07250",307,212,130,236,189,210
"PITA_00481",0,2,2,0,0,9
"PITA_21502",100,34,75,38,28,48
"PITA_32524",509,520,567,446,515,676
"PITA_28377",0,0,0,0,0,0
"PITA_41419",254,327,197,110,141,224
"PITA_48952",1,1,1,2,3,0
"PITA_00854",0,0,0,0,0,0
"PITA_48517",0,2,1,1,3,3
"PITA_23245",293,127,180,211,184,164
"PITA_14697",25,0,0,10,0,4
"PITA_30204",11,4,6,2,0,0
"PITA_49802",7,3,1,8,3,2
"PITA_22248",0,2,0,0,0,0
"PITA_01598",0,1,2,0,0,0
"PITA_29489",80,75,57,58,30,61
"PITA_20620",164,78,71,96,99,117
"PITA_50866",10,5,2,8,7,8
"PITA_33182",0,0,0,0,0,1
"PITA_40133",0,0,0,0,0,0
"PITA_05424",0,0,0,0,0,0
"PITA_27348",0,0,0,0,0,1
"PITA_50893",0,3,2,0,1,1
"PITA_25918",788,344,406,613,792,579
"PITA_40113",1,1,4,10,11,5
"PITA_20522",173,122,99,114,108,168
"PITA_04639",3761,1152,2011,1214,1715,1057
"PITA_14830",8,11,29,15,0,26
"PITA_00646",0,0,0,0,0,0
"PITA_44112",830,564,491,824,590,781
"PITA_46220",160,79,76,66,44,82
"PITA_33997",4049,2044,2335,1928,2553,2598
"PITA_17083",17,4,10,4,7,7
"PITA_15902",179,86,52,76,69,76
"PITA_37761",0,0,0,0,0,0
"PITA_43576",2,0,1,0,0,1
